id,web_name,team,element_type,now_cost,selected_by_percent,total_points,id_team,name,short_name,element,recent_form_points
1,Raya,1,1,59,32.3,53,1,Arsenal,ARS,1.0,3.8
2,Arrizabalaga,1,1,42,0.4,0,1,Arsenal,ARS,2.0,0.0
3,Hein,1,1,40,0.3,0,1,Arsenal,ARS,3.0,0.0
4,Setford,1,1,40,0.2,0,1,Arsenal,ARS,4.0,0.0
5,Gabriel,1,2,65,29.3,81,1,Arsenal,ARS,5.0,6.8
6,Saliba,1,2,60,12.6,39,1,Arsenal,ARS,6.0,2.8
7,Calafiori,1,2,58,14.8,61,1,Arsenal,ARS,7.0,3.8
8,J.Timber,1,2,63,29.6,67,1,Arsenal,ARS,8.0,3.8
9,Kiwior,1,2,54,0.1,0,1,Arsenal,ARS,9.0,0.0
10,Lewis-Skelly,1,2,51,1.6,6,1,Arsenal,ARS,10.0,0.4
11,White,1,2,53,0.4,6,1,Arsenal,ARS,11.0,0.0
13,Clarke,1,2,38,0.5,0,1,Arsenal,ARS,13.0,0.0
14,Kacurri,1,2,39,0.1,0,1,Arsenal,ARS,14.0,0.0
15,Nichols,1,2,39,0.2,0,1,Arsenal,ARS,15.0,0.0
16,Saka,1,3,101,18.0,45,1,Arsenal,ARS,16.0,5.0
17,Ødegaard,1,3,78,1.3,13,1,Arsenal,ARS,17.0,0.0
18,Madueke,1,3,68,0.6,10,1,Arsenal,ARS,18.0,0.0
19,Martinelli,1,3,68,0.8,16,1,Arsenal,ARS,19.0,0.4
20,Trossard,1,3,69,0.9,40,1,Arsenal,ARS,20.0,5.6
21,Rice,1,3,69,21.9,65,1,Arsenal,ARS,21.0,5.0
22,Merino,1,3,59,1.0,23,1,Arsenal,ARS,22.0,1.6
23,Fábio Vieira,1,3,54,0.0,0,1,Arsenal,ARS,23.0,0.0
24,Nørgaard,1,3,52,0.1,2,1,Arsenal,ARS,24.0,0.4
25,Nwaneri,1,3,51,0.1,7,1,Arsenal,ARS,25.0,0.2
26,Zubimendi,1,3,54,2.9,48,1,Arsenal,ARS,26.0,3.2
28,Kabia,1,3,45,0.1,0,1,Arsenal,ARS,28.0,0.0
29,Sambi,1,3,45,0.1,0,1,Arsenal,ARS,29.0,0.0
30,Havertz,1,4,73,0.3,1,1,Arsenal,ARS,30.0,0.0
31,G.Jesus,1,4,64,0.0,0,1,Arsenal,ARS,31.0,0.0
266,Eze,1,3,76,13.1,41,1,Arsenal,ARS,266.0,3.8
662,Mosquera,1,2,54,0.2,14,1,Arsenal,ARS,662.0,0.4
666,Gyökeres,1,4,88,11.9,37,1,Arsenal,ARS,666.0,2.2
700,Dowman,1,3,43,0.4,5,1,Arsenal,ARS,700.0,0.0
711,Harriman-Annous,1,3,45,0.0,0,1,Arsenal,ARS,711.0,0.0
725,Hincapie,1,2,54,0.1,2,1,Arsenal,ARS,725.0,0.4
32,Martinez,2,1,50,2.9,40,2,Aston Villa,AVL,32.0,5.0
33,M.Bizot,2,1,43,0.5,7,2,Aston Villa,AVL,33.0,0.0
34,Gauci,2,1,40,0.1,0,2,Aston Villa,AVL,34.0,0.0
35,Marschall,2,1,40,0.0,0,2,Aston Villa,AVL,35.0,0.0
36,Cash,2,2,46,5.7,52,2,Aston Villa,AVL,36.0,4.6
37,Digne,2,2,45,2.0,42,2,Aston Villa,AVL,37.0,4.2
38,Konsa,2,2,44,7.9,33,2,Aston Villa,AVL,38.0,3.4
39,Maatsen,2,2,42,0.4,6,2,Aston Villa,AVL,39.0,0.6
