fpl_id,understat_id,fpl_name,understat_name,score
6,6888,William Saliba,William Saliba,100
7,8129,Riccardo Calafiori,Riccardo Calafiori,100
8,11707,Jurriën Timber,Jurriën Timber,100
10,12272,Myles Lewis-Skelly,Myles Lewis-Skelly,100
16,7322,Bukayo Saka,Bukayo Saka,100
17,2517,Martin Ødegaard,Martin Odegaard,100
18,11357,Noni Madueke,Noni Madueke,100
19,7752,Gabriel Martinelli Silva,Gabriel Martinelli,100
20,7698,Leandro Trossard,Leandro Trossard,100
21,5553,Declan Rice,Declan Rice,100
24,7083,Christian Nørgaard,Christian Nørgaard,100
25,11132,Ethan Nwaneri,Ethan Nwaneri,100
30,5220,Kai Havertz,Kai Havertz,100
266,8706,Eberechi Eze,Eberechi Eze,100
662,10024,Cristhian Mosquera,Cristhian Mosquera,100
666,7254,Viktor Gyökeres,Viktor Gyokeres,100
700,13872,Max Dowman,Max Dowman,100
725,9911,Piero Hincapié,Piero Hincapié,100
33,9614,Marco Bizot,Marco Bizot,100
37,1823,Lucas Digne,Lucas Digne,100
38,7726,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,100
39,11807,Ian Maatsen,Ian Maatsen,100
40,1024,Tyrone Mings,Tyrone Mings,100
41,6221,Pau Torres,Pau Torres,100
42,13392,Andrés García,Andrés García,100
44,10025,Lamare Bogarde,Lamare Bogarde,100
47,12412,Morgan Rogers,Morgan Rogers,100
48,5956,Youri Tielemans,Youri Tielemans,100
49,5221,Leon Bailey,Leon Bailey,100
53,9749,Donyell Malen,Donyell Malen,100
54,7723,John McGinn,John McGinn,100
55,592,Ross Barkley,Ross Barkley,100
58,5789,Boubacar Kamara,Boubacar Kamara,100
59,9667,Amadou Onana,Amadou Onana,100
64,8865,Ollie Watkins,Ollie Watkins,100
389,7546,Harvey Elliott,Harvey Elliott,100
456,6345,Jadon Sancho,Jadon Sancho,100
702,13870,Bradley Burrowes,Bradley Burrowes,100
719,6080,Victor Lindelöf,Victor Lindelöf,100
754,14193,George Hemmings,George Hemmings,100
808,702,Tammy Abraham,Tammy Abraham,100
187,638,Kyle Walker,Kyle Walker,100
190,11704,Hjalmar Ekdal,Hjalmar Ekdal,100
191,9487,Maxime Estève,Maxime Estève,100
192,13727,Quilindschy Hartman,Quilindschy Hartman,100
193,11243,Bashir Humphreys,Bashir Humphreys,100
197,13726,Oliver Sonne,Oliver Sonne,100
198,934,Axel Tuanzebe,Axel Tuanzebe,100
199,10756,Joe Worrall,Joe Worrall,100
200,10746,Jaidon Anthony,Jaidon Anthony,100
202,5355,Jacob Bruun Larsen,Jacob Bruun Larsen,100
205,1018,Josh Cullen,Josh Cullen,100
206,13730,Marcus Edwards,Marcus Edwards,100
207,9558,Hannibal Mejbri,Hannibal Mejbri,100
209,13728,Josh Laurent,Josh Laurent,100
210,9977,Loum Tchaouna,Loum Tchaouna,100
213,14281,Jaydon Banel,Jaydon Banel,100
215,13729,Zian Flemming,Zian Flemming,100
217,7498,Lyle Foster,Lyle Foster,100
218,4422,Ashley Barnes,Ashley Barnes,100
470,6532,Martin Dúbravka,Martin Dubravka,100
614,843,James Ward-Prowse,James Ward-Prowse,100
680,8384,Armando Broja,Armando Broja,100
67,12032,Đorđe Petrović,Djordje Petrovic,100
73,825,Adam Smith,Adam Smith,100
74,8640,Adrien Truffert,Adrien Truffert,100
77,10747,James Hill,James Hill,100
81,6963,Justin Kluivert,Justin Kluivert,100
84,10741,Marcus Tavernier,Marcus Tavernier,100
85,7352,Tyler Adams,Tyler Adams,100
86,6820,David Brooks,David Brooks,100
87,10744,Ryan Christie,Ryan Christie,100
88,1789,Lewis Cook,Lewis Cook,100
90,12149,Alex Scott,Alex Scott,100
96,13242,Ben Winterburn,Ben Winterburn,100
98,6219,Enes Ünal,Enes Ünal,100
100,11504,Junior Kroupi,Eli Junior Kroupi,100
685,7268,Bafodé Diakité,Bafode Diakite,100
697,8211,Amine Adli,Amine Adli,100
721,14027,Veljko Milosavljevic,Veljko Milosavljevic,100
801,14374,Alex Tóth,Alex Tóth,100
27,6492,Reiss Nelson,Reiss Nelson,100
83,9662,Dango Ouattara,Dango Ouattara,100
