element,web_name,team,team_name,next_opponent_id,next_opponent_name,is_home,opponent_strength,now_cost,selected_by_percent,element_type,code,team_code,opponent_team_code,ict_index,status,chance_of_playing_next_round,news,recent_form,recent_clean_sheets,recent_saves,recent_goals_conceded,recent_goals_scored,recent_assists,recent_threat,recent_influence,recent_creativity,recent_penalties_saved,recent_team_xg,recent_team_xga,recent_expected_goals,recent_expected_assists,recent_us_npxG_per90,recent_us_xA_per90
220,Sánchez,7,Chelsea,11,Leeds,1,3,49,15.1,1,215059,8,2,62.8,a,100.0,,4.0,0.2,4.0,1.2,0.0,0.0,0.0,33.64,0.0,0.0,2.717196,1.558568,0.0,0.002,0.0,0.0
221,Jörgensen,7,Chelsea,11,Leeds,1,3,43,0.2,1,508479,8,2,2.8,d,75.0,Knock - 75% chance of playing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.717196,1.558568,0.0,0.0,0.0,0.0
222,Penders,7,Chelsea,11,Leeds,1,3,40,0.0,1,549939,8,2,0.0,u,0.0,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.717196,1.558568,0.0,0.0,0.0,0.0
223,Slonina,7,Chelsea,11,Leeds,1,3,39,0.1,1,471798,8,2,0.0,a,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.717196,1.558568,0.0,0.0,0.0,0.0
224,Cucurella,7,Chelsea,11,Leeds,1,3,61,17.4,2,179268,8,2,98.7,a,100.0,,3.4,0.2,0.0,0.8,0.2,0.2,16.2,24.96,12.36,0.0,2.717196,1.558568,0.21200000000000002,0.134,0.0,0.0
225,James,7,Chelsea,11,Leeds,1,3,57,9.3,2,225796,8,2,89.7,d,75.0,Illness - 75% chance of playing,3.0,0.4,0.0,0.2,0.0,0.0,1.2,9.64,9.040000000000001,0.0,2.717196,1.558568,0.0,0.034,0.06139636192997323,0.20295276595174516
226,Chalobah,7,Chelsea,11,Leeds,1,3,58,23.9,2,180736,8,2,83.2,a,100.0,,4.4,0.2,0.0,1.2,0.0,0.0,0.4,26.48,1.3,0.0,2.717196,1.558568,0.0,0.006,0.05836004451782359,0.0068202432227360684
227,Colwill,7,Chelsea,11,Leeds,1,3,47,0.1,2,460028,8,2,0.0,i,0.0,Anterior cruciate ligament - Unknown return date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.717196,1.558568,0.0,0.0,0.0,0.0
228,Gusto,7,Chelsea,11,Leeds,1,3,49,2.0,2,482609,8,2,70.0,a,100.0,,1.2,0.0,0.0,1.0,0.0,0.0,5.4,9.120000000000001,12.180000000000001,0.0,2.717196,1.558568,0.036,0.06,0.11568167137077331,0.11280708410512572
229,B.Badiashile,7,Chelsea,11,Leeds,1,3,44,0.0,2,242880,8,2,11.4,a,100.0,,0.8,0.0,0.0,0.6,0.0,0.0,0.4,9.0,0.34,0.0,2.717196,1.558568,0.0,0.004,0.0,0.0
